indicator,type,source,description
suspicious-video-share.net,domain,synthetic,Suspicious file sharing platform
anonymous-chat-zone.org,domain,synthetic,Anonymous communication platform
encrypted-dropbox.xyz,domain,synthetic,Encrypted content exchange site
fake-support-forum.net,domain,synthetic,Potential social engineering platform
unknown-media-board.org,domain,synthetic,Unmoderated media board

185.199.108.153,ip,synthetic,Suspicious communication endpoint
103.44.21.11,ip,synthetic,Untrusted external host
91.220.101.55,ip,synthetic,Potential command server
45.77.11.23,ip,synthetic,Unknown messaging node
198.51.100.42,ip,synthetic,Suspicious relay server

hash111111111,file_hash,synthetic,Suspicious content fingerprint
hash222222222,file_hash,synthetic,Potential illegal content report
hash333333333,file_hash,synthetic,Known suspicious artifact
hash444444444,file_hash,synthetic,Unverified content reference
hash555555555,file_hash,synthetic,Flagged evidence hash

private-chat-now,keyword,synthetic,Private communication keyword
secret-share-link,keyword,synthetic,Suspicious sharing keyword
hidden-channel-access,keyword,synthetic,Restricted access keyword
anonymous-upload,keyword,synthetic,Suspicious upload keyword
encrypted-transfer,keyword,synthetic,Encrypted transfer keyword
